,"Economic Activity, Industrial Production, Index","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","International Reserves and Liquidity, Reserves, Official Reserve Assets, US Dollar","Prices, Consumer Price Index, All items, Index"
Dec 1959,12.14,360.00,"1,446.26",18.52
Jan 1960,11.23,360.00,"1,453.30",18.75
Feb 1960,12.64,360.00,"1,446.33",18.77
Mar 1960,13.63,360.00,"1,486.37",18.71
Apr 1960,12.72,360.00,"1,510.40",18.83
May 1960,12.80,360.00,"1,544.47",19.00
Jun 1960,12.80,360.00,"1,576.00",18.92
Jul 1960,12.97,360.00,"1,629.54",18.90
Aug 1960,12.80,360.00,"1,693.96",19.05
Sep 1960,13.38,360.00,"1,782.99",19.21
Oct 1960,13.63,360.00,"1,842.03",19.30
Nov 1960,13.96,360.00,"1,885.06",19.04
Dec 1960,14.54,360.00,"1,949.13",19.19
Jan 1961,13.63,360.00,"2,010.17",19.45
Feb 1961,14.70,360.00,"2,062.20",19.55
Mar 1961,16.27,360.00,"2,122.24",19.51
Apr 1961,14.95,360.00,"2,160.31",19.70
May 1961,15.28,360.00,"2,091.34",19.61
Jun 1961,15.61,360.00,"2,037.41",19.61
Jul 1961,15.78,360.00,"1,962.45",19.93
Aug 1961,15.61,360.00,"1,876.00",20.08
Sep 1961,15.94,360.00,"1,790.54",20.19
Oct 1961,16.36,360.00,"1,686.53",20.63
Nov 1961,16.36,360.00,"1,668.57",20.72
Dec 1961,17.18,360.00,"1,665.89",20.91
Jan 1962,16.03,360.00,"1,689.93",21.05
Feb 1962,17.02,360.00,"1,694.00",20.97
Mar 1962,18.67,360.00,"1,741.42",21.01
Apr 1962,17.02,360.00,"1,738.49",21.24
May 1962,17.18,360.00,"1,765.52",21.35
Jun 1962,17.02,360.00,"1,802.56",21.28
Jul 1962,16.60,360.00,"1,815.50",21.48
Aug 1962,16.36,360.00,"1,827.54",21.48
Sep 1962,16.77,360.00,"1,900.61",21.41
Oct 1962,16.77,360.00,"1,984.64",21.58
Nov 1962,16.69,360.00,"1,972.71",21.50
Dec 1962,17.18,360.00,"2,020.76",21.94
Jan 1963,16.03,360.00,"2,063.82",22.30
Feb 1963,17.59,360.00,"2,035.85",22.40
Mar 1963,19.00,360.00,"2,042.89",22.50
Apr 1963,18.17,360.00,"2,057.92",22.60
