,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Percentage change, Previous period, Percent"
Jan 1988,0.55,52.04,0
Feb 1988,0.57,52.15,0.21
Mar 1988,0.55,52.38,0.43
Apr 1988,0.53,53.04,1.27
May 1988,0.53,53.26,0.42
Jun 1988,0.56,53.49,0.42
Jul 1988,0.59,53.49,0
Aug 1988,0.59,53.82,0.62
Sep 1988,0.59,54.04,0.41
Oct 1988,0.58,54.37,0.62
Nov 1988,0.55,54.71,0.61
Dec 1988,0.55,54.71,0
Jan 1989,0.56,54.93,0.41
Feb 1989,0.57,55.15,0.4
Mar 1989,0.58,55.48,0.6
Apr 1989,0.59,56.04,1
May 1989,0.61,56.48,0.79
Jun 1989,0.64,56.59,0.2
Jul 1989,0.62,56.59,0
Aug 1989,0.63,56.7,0.2
Sep 1989,0.64,57.15,0.78
Oct 1989,0.63,57.59,0.78
Nov 1989,0.64,57.81,0.39
Dec 1989,0.63,57.92,0.19
Jan 1990,0.61,58.15,0.38
Feb 1990,0.59,58.7,0.95
Mar 1990,0.62,58.92,0.38
Apr 1990,0.61,60.37,2.45
May 1990,0.6,61.03,1.1
Jun 1990,0.59,61.25,0.36
Jul 1990,0.55,61.25,0
Aug 1990,0.53,61.81,0.91
Sep 1990,0.53,62.36,0.9
Oct 1990,0.51,62.92,0.89
Nov 1990,0.51,63.14,0.35
Dec 1990,0.52,63.25,0.18
Jan 1991,0.52,63.25,0
Feb 1991,0.51,63.47,0.35
Mar 1991,0.55,63.81,0.52
Apr 1991,0.57,65.14,2.09
May 1991,0.58,65.69,0.85
Jun 1991,0.61,66.03,0.51
Jul 1991,0.61,65.8,-0.34
Aug 1991,0.59,66.47,1.01
Sep 1991,0.58,66.69,0.33
Oct 1991,0.58,67.02,0.5
Nov 1991,0.56,67.14,0.17
Dec 1991,0.55,67.36,0.33
Jan 1992,0.55,67.14,-0.33
Feb 1992,0.56,67.47,0.5
Mar 1992,0.58,67.8,0.49
Apr 1992,0.57,68.58,1.15
May 1992,0.55,69.02,0.65
Jun 1992,0.54,69.02,0
Jul 1992,0.52,68.8,-0.32
Aug 1992,0.52,68.91,0.16
Sep 1992,0.54,69.13,0.32
Oct 1992,0.6,69.35,0.32
Nov 1992,0.66,69.35,0
Dec 1992,0.64,69.47,0.16
Jan 1993,0.65,69.24,-0.32
Feb 1993,0.7,69.58,0.48
Mar 1993,0.68,69.91,0.48
Apr 1993,0.65,70.35,0.63
May 1993,0.65,70.58,0.32
Jun 1993,0.66,70.58,0
Jul 1993,0.67,70.35,-0.31
Aug 1993,0.67,70.69,0.47
Sep 1993,0.66,71.02,0.47
Oct 1993,0.67,71.02,0
Nov 1993,0.68,70.8,-0.31
Dec 1993,0.67,71.02,0.31
