,"International Reserves and Liquidity, Reserves, Official Reserve Assets, US Dollar","Prices, Consumer Price Index, All items, Index"
Dec 1959,"21,504.50",13.48
Jan 1960,"21,478.10",13.44
Feb 1960,"21,395.70",13.48
Mar 1960,"21,344.70",13.48
Apr 1960,"21,278.00",13.53
May 1960,"21,234.30",13.53
Jun 1960,"21,169.80",13.57
Jul 1960,"20,999.40",13.57
Aug 1960,"20,803.40",13.57
Sep 1960,"20,430.00",13.57
Oct 1960,"20,068.20",13.67
Nov 1960,"19,558.20",13.67
Dec 1960,"19,358.80",13.67
Jan 1961,"19,056.20",13.67
Feb 1961,"18,978.00",13.67
Mar 1961,"18,988.20",13.67
Apr 1961,"19,165.10",13.67
May 1961,"19,196.90",13.67
Jun 1961,"19,307.90",13.67
Jul 1961,"19,234.60",13.76
Aug 1961,"19,641.50",13.71
Sep 1961,"19,520.90",13.76
Oct 1961,"19,171.90",13.76
Nov 1961,"18,827.90",13.76
Dec 1961,"18,752.90",13.76
Jan 1962,"18,649.80",13.76
Feb 1962,"18,512.00",13.80
Mar 1962,"18,328.70",13.80
Apr 1962,"18,192.40",13.85
May 1962,"18,124.50",13.85
Jun 1962,"18,490.30",13.85
Jul 1962,"17,784.50",13.90
Aug 1962,"17,638.60",13.90
Sep 1962,"17,610.30",13.94
Oct 1962,"17,435.70",13.94
Nov 1962,"17,286.20",13.94
Dec 1962,"17,220.40",13.94
Jan 1963,"17,177.90",13.94
Feb 1963,"17,114.30",13.94
Mar 1963,"17,188.50",13.99
Apr 1963,"17,139.90",13.99
May 1963,"17,113.60",13.99
Jun 1963,"17,064.70",14.03
Jul 1963,"16,815.10",14.08
Aug 1963,"16,773.90",14.08
Sep 1963,"16,838.00",14.08
Oct 1963,"16,947.80",14.12
Nov 1963,"16,817.10",14.12
Dec 1963,"16,843.00",14.17
Jan 1964,"16,880.90",14.17
Feb 1964,"16,770.50",14.17
Mar 1964,"16,894.00",14.17
Apr 1964,"16,898.90",14.17
May 1964,"16,855.50",14.17
Jun 1964,"16,591.20",14.22
Jul 1964,"16,628.60",14.26
Aug 1964,"16,690.40",14.22
Sep 1964,"16,521.00",14.26
Oct 1964,"16,385.50",14.26
Nov 1964,"17,015.20",14.31
Dec 1964,"16,672.40",14.31
Jan 1965,"16,342.90",14.31
Feb 1965,"15,994.90",14.31
Mar 1965,"15,828.90",14.35
Apr 1965,"15,592.30",14.40
May 1965,"15,420.00",14.40
Jun 1965,"15,761.80",14.49
Jul 1965,"15,565.60",14.49
Aug 1965,"15,850.40",14.49
Sep 1965,"15,721.20",14.49
Oct 1965,"15,639.40",14.54
Nov 1965,"15,547.90",14.54
Dec 1965,"15,450.00",14.58
Jan 1966,"15,224.50",14.58
Feb 1966,"14,961.80",14.68
Mar 1966,"15,025.90",14.72
Apr 1966,"14,913.90",14.81
May 1966,"14,904.50",14.81
Jun 1966,"14,957.80",14.86
Jul 1966,"15,148.20",14.90
Aug 1966,"15,014.60",15.00
Sep 1966,"14,876.00",15.00
Oct 1966,"14,879.60",15.09
Nov 1966,"14,715.10",15.09
Dec 1966,"14,881.70",15.09
Jan 1967,"14,195.80",15.09
Feb 1967,"13,997.50",15.09
Mar 1967,"13,854.60",15.13
Apr 1967,"13,905.70",15.18
May 1967,"13,942.50",15.23
Jun 1967,"14,274.30",15.27
Jul 1967,"14,223.60",15.32
Aug 1967,"14,604.80",15.36
Sep 1967,"14,648.60",15.41
Oct 1967,"14,926.70",15.45
Nov 1967,"15,437.60",15.50
Dec 1967,"14,830.20",15.55
Jan 1968,"14,620.00",15.64
Feb 1968,"14,789.80",15.68
Mar 1968,"13,926.50",15.73
Apr 1968,"13,839.70",15.78
May 1968,"14,348.30",15.82
Jun 1968,"14,062.60",15.91
Jul 1968,"14,365.80",16.01
Aug 1968,"14,427.00",16.05
Sep 1968,"14,633.90",16.10
Oct 1968,"14,427.50",16.19
Nov 1968,"15,659.70",16.23
Dec 1968,"15,709.90",16.28
Jan 1969,"15,454.00",16.33
Feb 1969,"15,499.40",16.42
Mar 1969,"15,758.40",16.56
Apr 1969,"15,947.60",16.65
May 1969,"16,069.90",16.69
Jun 1969,"16,057.10",16.78
Jul 1969,"15,935.80",16.88
Aug 1969,"16,195.10",16.97
Sep 1969,"16,743.20",17.01
Oct 1969,"16,315.80",17.11
Nov 1969,"16,000.30",17.20
Dec 1969,"16,963.60",17.29
Jan 1970,"17,396.53",17.34
Feb 1970,"17,669.63",17.43
Mar 1970,"17,350.63",17.52
Apr 1970,"16,918.71",17.66
May 1970,"16,164.89",17.70
Jun 1970,"16,328.29",17.79
Jul 1970,"16,065.39",17.89
Aug 1970,"15,795.79",17.89
Sep 1970,"15,527.69",17.98
Oct 1970,"15,119.89",18.07
Nov 1970,"14,890.29",18.16
Dec 1970,"14,486.89",18.25
Jan 1971,"14,698.99",18.25
Feb 1971,"14,533.79",18.30
Mar 1971,"14,341.59",18.34
Apr 1971,"14,307.13",18.39
May 1971,"13,810.51",18.48
Jun 1971,"13,503.91",18.62
Jul 1971,"13,282.51",18.66
Aug 1971,"12,127.81",18.71
Sep 1971,"12,130.21",18.71
Oct 1971,"12,145.90",18.76
Nov 1971,"12,130.30",18.76
Dec 1971,"12,314.57",18.85
Jan 1972,"13,084.03",18.85
Feb 1972,"12,534.82",18.94
Mar 1972,"12,475.16",18.99
Apr 1972,"12,472.71",19.03
May 1972,"13,344.52",19.08
Jun 1972,"13,338.60",19.12
Jul 1972,"13,089.59",19.22
Aug 1972,"13,123.15",19.26
Sep 1972,"13,216.80",19.31
Oct 1972,"13,312.47",19.40
Nov 1972,"13,306.35",19.44
Dec 1972,"13,150.32",19.49
Jan 1973,"13,053.34",19.54
Feb 1973,"13,195.62",19.67
Mar 1973,"13,201.41",19.86
Apr 1973,"13,172.79",19.99
May 1973,"13,184.89",20.13
Jun 1973,"13,183.16",20.27
Jul 1973,"13,187.86",20.32
Aug 1973,"13,193.41",20.68
Sep 1973,"13,198.00",20.73
Oct 1973,"14,367.46",20.91
Nov 1973,"14,372.77",21.05
Dec 1973,"14,377.96",21.19
Jan 1974,"14,565.39",21.37
Feb 1974,"14,643.16",21.65
Mar 1974,"14,588.26",21.92
Apr 1974,"14,642.02",22.01
May 1974,"14,869.48",22.29
Jun 1974,"14,946.22",22.47
Jul 1974,"14,911.91",22.65
Aug 1974,"15,460.14",22.93
Sep 1974,"15,893.18",23.21
Oct 1974,"15,889.70",23.43
Nov 1974,"15,839.20",23.62
Dec 1974,"15,883.85",23.80
Jan 1975,"15,948.01",23.89
Feb 1975,"16,132.30",24.08
Mar 1975,"16,255.80",24.17
Apr 1975,"16,182.63",24.26
May 1975,"16,279.85",24.40
Jun 1975,"16,241.47",24.58
Jul 1975,"16,083.56",24.86
Aug 1975,"16,116.68",24.90
Sep 1975,"16,291.69",25.04
Oct 1975,"16,567.69",25.18
Nov 1975,"16,591.94",25.36
Dec 1975,"16,225.90",25.45
Jan 1976,"16,622.46",25.50
Feb 1976,"16,661.49",25.59
Mar 1976,"16,941.16",25.64
Apr 1976,"17,436.87",25.73
May 1976,"17,955.33",25.91
Jun 1976,"18,476.50",26.05
Jul 1976,"18,245.40",26.19
Aug 1976,"18,586.28",26.32
Sep 1976,"18,945.88",26.42
Oct 1976,"19,013.03",26.55
Nov 1976,"19,416.17",26.60
Dec 1976,"18,747.00",26.69
Jan 1977,"19,087.41",26.83
Feb 1977,"19,121.97",27.10
Mar 1977,"19,120.65",27.29
Apr 1977,"18,867.70",27.52
May 1977,"19,194.33",27.65
Jun 1977,"19,155.73",27.84
Jul 1977,"18,926.99",27.97
Aug 1977,"19,055.55",28.07
Sep 1977,"18,988.47",28.16
Oct 1977,"19,047.45",28.25
Nov 1977,"19,155.04",28.39
Dec 1977,"19,311.50",28.48
Jan 1978,"19,454.83",28.66
Feb 1978,"19,372.98",28.85
Mar 1978,"19,191.32",29.08
Apr 1978,"18,842.72",29.30
May 1978,"18,965.24",29.58
Jun 1978,"18,863.95",29.90
Jul 1978,"18,832.09",30.13
Aug 1978,"18,782.59",30.27
Sep 1978,"18,849.93",30.50
